Packsize Number,ID,Name,Length,Width,Height,Max Weight,Volume,Cost
312,20.0016.0013.50,200016001350(F),20,13.5,16,30,4320,42.3852111111111
313,20.0008.0004.50,200008000450(G),20,4.5,8,30,720,7.21165555555556
314,20.0013.0004.50,200013000450(K),20,4.5,13,30,1170,11.6642527777778
315,20.0013.5004.00,200013500400(K),20,4,13.5,30,1080,10.7931777777778
316,20.0011.0005.50,200011000550(G),20,5.5,11,30,1210,12.0319527777778
317,20.0014.0011.50,200014001150(F),20,11.5,14,30,3220,31.6609611111111
318,20.0016.0008.00,200016000800(F),20,8,16,30,2560,25.2439111111111
319,20.0016.0011.00,200016001100(F),20,11,16,30,3520,34.5937111111111
320,20.0011.5009.50,200011500950(J),20,9.5,11.5,30,2185,21.5560986111111
321,20.0012.0009.50,200012000950(J),20,9.5,12,30,2280,22.4852888888889
323,20.0014.5010.50,200014501050(F),20,10.5,14.5,30,3045,29.9574819444444
324,20.0014.5006.00,200014500600(F),20,6,14.5,30,1740,17.2393944444444
325,21.0011.0005.50,210011000550(G),21,5.5,11,30,1270.5,12.6306094444444
326,21.0013.0008.00,210013000800(L),21,8,13,30,2184,21.5617811111111
327,21.0008.5005.50,210008500550(G),21,5.5,8.5,30,981.75,9.78553722222222
328,21.0011.5008.00,210011500800(H),21,8,11.5,30,1932,19.0927294444444
329,21.0013.5009.50,210013500950(R),21,9.5,13.5,30,2693.25,26.5302683333333
330,21.0010.0004.00,210010000400(G),21,4,10,30,840,8.41392222222222
331,21.0016.0013.50,210016001350(S),21,13.5,16,30,4536,44.4939716666667
332,21.0011.5005.50,210011500550(G),21,5.5,11.5,30,1328.25,13.1996238888889
333,21.0011.5004.00,210011500400(G),21,4,11.5,30,966,9.66376055555556
334,21.0010.0004.50,210010000450(G),21,4.5,10,30,945,9.44014166666667
335,21.0016.0011.50,210016001150(I),21,11.5,16,30,3864,37.9506672222222
336,21.0011.5010.00,210011501000(J),21,10,11.5,30,2415,23.8072138888889
337,21.0011.5009.00,210011500900(J),21,9,11.5,30,2173.5,21.4499716666667
338,21.0010.0006.00,210010000600(G),21,6,10,30,1260,12.5188
339,21.0008.0005.50,210008000550(G),21,5.5,8,30,924,9.21652277777778
340,21.0011.0004.50,210011000450(G),21,4.5,11,30,1039.5,10.3749683333333
341,21.0016.5011.00,210016501100(I),21,11,16.5,30,3811.5,37.4426616666667
342,21.0014.0011.50,210014001150(I),21,11.5,14,30,3381,33.2361827777778
343,21.0014.5010.50,210014501050(I),21,10.5,14.5,30,3197.25,31.447955
344,21.0011.5004.50,210011500450(G),21,4.5,11.5,30,1086.75,10.8423816666667
345,21.0010.5004.50,210010500450(G),21,4.5,10.5,30,992.25,9.907555
346,21.0008.5004.00,210008500400(G),21,4,8.5,30,714,7.16408388888889
